competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_archive,source_status
201605,2016-05-01,2016,5,32,ES,Espirito Santo,Southeast,-80,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,52,GO,Goias,Center-West,0,implicit_zero_fill,implicit_zero_fill
201605,2016-05-01,2016,5,21,MA,Maranhao,Northeast,46,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,31,MG,Minas Gerais,Southeast,-2981,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,50,MS,Mato Grosso do Sul,Center-West,0,implicit_zero_fill,implicit_zero_fill
201605,2016-05-01,2016,5,51,MT,Mato Grosso,Center-West,0,implicit_zero_fill,implicit_zero_fill
201605,2016-05-01,2016,5,15,PA,Para,North,-1481,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,25,PB,Paraiba,Northeast,-576,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,26,PE,Pernambuco,Northeast,-1338,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,22,PI,Piaui,Northeast,-671,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,41,PR,Parana,South,0,implicit_zero_fill,implicit_zero_fill
201605,2016-05-01,2016,5,33,RJ,Rio de Janeiro,Southeast,-6281,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,24,RN,Rio Grande do Norte,Northeast,-575,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,11,RO,Rondonia,North,-490,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,14,RR,Roraima,North,3,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,43,RS,Rio Grande do Sul,South,0,implicit_zero_fill,implicit_zero_fill
201605,2016-05-01,2016,5,42,SC,Santa Catarina,South,0,implicit_zero_fill,implicit_zero_fill
201605,2016-05-01,2016,5,28,SE,Sergipe,Northeast,-566,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,35,SP,Sao Paulo,Southeast,-5232,CAGEDEST_052016.7z,salvaged_exit_2
201605,2016-05-01,2016,5,17,TO,Tocantins,North,286,CAGEDEST_052016.7z,salvaged_exit_2
201606,2016-06-01,2016,6,12,AC,Acre,North,258,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,27,AL,Alagoas,Northeast,-778,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,13,AM,Amazonas,North,447,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,16,AP,Amapa,North,-48,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,29,BA,Bahia,Northeast,-2260,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,23,CE,Ceara,Northeast,-1923,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,53,DF,Distrito Federal,Center-West,-65,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,32,ES,Espirito Santo,Southeast,-479,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,52,GO,Goias,Center-West,498,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,21,MA,Maranhao,Northeast,346,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,31,MG,Minas Gerais,Southeast,-3040,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,50,MS,Mato Grosso do Sul,Center-West,2,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,51,MT,Mato Grosso,Center-West,-153,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,15,PA,Para,North,-418,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,25,PB,Paraiba,Northeast,-488,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,26,PE,Pernambuco,Northeast,-1477,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,22,PI,Piaui,Northeast,-92,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,41,PR,Parana,South,-1607,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,33,RJ,Rio de Janeiro,Southeast,-7065,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,24,RN,Rio Grande do Norte,Northeast,-767,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,11,RO,Rondonia,North,-552,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,14,RR,Roraima,North,-121,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,43,RS,Rio Grande do Sul,South,-511,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,42,SC,Santa Catarina,South,-938,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,28,SE,Sergipe,Northeast,-637,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,35,SP,Sao Paulo,Southeast,-8894,CAGEDEST_062016.7z,integrity_ok
201606,2016-06-01,2016,6,17,TO,Tocantins,North,118,CAGEDEST_062016.7z,integrity_ok
201607,2016-07-01,2016,7,12,AC,Acre,North,102,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,27,AL,Alagoas,Northeast,-724,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,13,AM,Amazonas,North,-53,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,16,AP,Amapa,North,-37,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,29,BA,Bahia,Northeast,-1894,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,23,CE,Ceara,Northeast,-1628,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,53,DF,Distrito Federal,Center-West,-429,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,32,ES,Espirito Santo,Southeast,-556,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,52,GO,Goias,Center-West,313,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,21,MA,Maranhao,Northeast,2,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,31,MG,Minas Gerais,Southeast,-2231,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,50,MS,Mato Grosso do Sul,Center-West,347,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,51,MT,Mato Grosso,Center-West,76,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,15,PA,Para,North,-689,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,25,PB,Paraiba,Northeast,-439,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,26,PE,Pernambuco,Northeast,-2114,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,22,PI,Piaui,Northeast,-329,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,41,PR,Parana,South,-53,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,33,RJ,Rio de Janeiro,Southeast,-10773,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,24,RN,Rio Grande do Norte,Northeast,-482,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,11,RO,Rondonia,North,-220,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,14,RR,Roraima,North,-104,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,43,RS,Rio Grande do Sul,South,-1795,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,42,SC,Santa Catarina,South,-304,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,28,SE,Sergipe,Northeast,-783,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,35,SP,Sao Paulo,Southeast,-4867,CAGEDEST_072016.7z,integrity_ok
201607,2016-07-01,2016,7,17,TO,Tocantins,North,240,CAGEDEST_072016.7z,integrity_ok
201608,2016-08-01,2016,8,12,AC,Acre,North,-143,CAGEDEST_082016.7z,integrity_ok
201608,2016-08-01,2016,8,27,AL,Alagoas,Northeast,-341,CAGEDEST_082016.7z,integrity_ok
201608,2016-08-01,2016,8,13,AM,Amazonas,North,-107,CAGEDEST_082016.7z,integrity_ok
201608,2016-08-01,2016,8,16,AP,Amapa,North,50,CAGEDEST_082016.7z,integrity_ok
201608,2016-08-01,2016,8,29,BA,Bahia,Northeast,155,CAGEDEST_082016.7z,integrity_ok
