year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,4,15,annex02,RREO-Anexo 02,1409,downloaded,,2026-05-28
2015,4,15,annex06,RREO-Anexo 06,169,downloaded,,2026-05-28
2015,4,16,annex01,RREO-Anexo 01,457,downloaded,,2026-05-28
2015,4,16,annex02,RREO-Anexo 02,1092,downloaded,,2026-05-28
2015,4,16,annex06,RREO-Anexo 06,147,downloaded,,2026-05-28
2015,4,17,annex01,RREO-Anexo 01,512,downloaded,,2026-05-28
2015,4,17,annex02,RREO-Anexo 02,1193,downloaded,,2026-05-28
2015,4,17,annex06,RREO-Anexo 06,166,downloaded,,2026-05-28
2015,4,21,annex01,RREO-Anexo 01,382,downloaded,,2026-05-28
2015,4,21,annex02,RREO-Anexo 02,1288,downloaded,,2026-05-28
2015,4,21,annex06,RREO-Anexo 06,149,downloaded,,2026-05-28
2015,4,22,annex01,RREO-Anexo 01,463,downloaded,,2026-05-28
2015,4,22,annex02,RREO-Anexo 02,1077,downloaded,,2026-05-28
2015,4,22,annex06,RREO-Anexo 06,156,downloaded,,2026-05-28
2015,4,23,annex01,RREO-Anexo 01,524,downloaded,,2026-05-28
2015,4,23,annex02,RREO-Anexo 02,1324,downloaded,,2026-05-28
2015,4,23,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,4,24,annex01,RREO-Anexo 01,441,downloaded,,2026-05-28
2015,4,24,annex02,RREO-Anexo 02,1143,downloaded,,2026-05-28
2015,4,24,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,4,25,annex01,RREO-Anexo 01,532,downloaded,,2026-05-28
2015,4,25,annex02,RREO-Anexo 02,1312,downloaded,,2026-05-28
2015,4,25,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,4,26,annex01,RREO-Anexo 01,604,downloaded,,2026-05-28
2015,4,26,annex02,RREO-Anexo 02,1346,downloaded,,2026-05-28
2015,4,26,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,4,27,annex01,RREO-Anexo 01,487,downloaded,,2026-05-28
2015,4,27,annex02,RREO-Anexo 02,1240,downloaded,,2026-05-28
