dropped_donor,period_date,bim_event_time,loo_gap
SP,2015-10-01,-19,0.06387795964320997
SP,2015-12-01,-18,0.006400690027452249
SP,2016-02-01,-17,0.012099409895515834
SP,2016-04-01,-16,0.06371967494663355
SP,2016-06-01,-15,0.041729747730300915
SP,2016-08-01,-14,0.09343734386823765
SP,2016-10-01,-13,0.19274947270346043
SP,2016-12-01,-12,0.09800950572440392
SP,2017-02-01,-11,0.03285061200879369
SP,2017-04-01,-10,0.13144072065041001
SP,2017-06-01,-9,0.11139738976274849
SP,2017-08-01,-8,0.0500679400140962
SP,2017-10-01,-7,0.025796069567972424
SP,2017-12-01,-6,0.023018875972764974
SP,2019-02-01,1,-0.6599014253806148
SP,2019-04-01,2,-0.30704470988827026
SP,2019-06-01,3,-0.07495770527380508
SP,2019-08-01,4,-0.26204602284200273
SP,2019-10-01,5,-0.2671245594694165
SP,2019-12-01,6,0.8574614148381681
SP,2020-02-01,7,0.972384963260561
SP,2020-04-01,8,-0.16554295472556735
SP,2020-06-01,9,-0.5012922001566462
SP,2020-08-01,10,3.9572280588906494e-4
SP,2020-10-01,11,-0.10244946906717267
