transfer_sheet,transfer_scope,transfer_variable,competencia,period_date,year,month,state_abbrev,state_name,macroregion,state_name_raw,transfer_value_nominal
FPE,states_direct,fpe,199108,1991-08-01,1991,8,RS,Rio Grande do Sul,South,Rio Grande do Sul,3406140387.37
FPE,states_direct,fpe,199108,1991-08-01,1991,8,SC,Santa Catarina,South,Santa Catarina,1851188409.94
FPE,states_direct,fpe,199108,1991-08-01,1991,8,SE,Sergipe,Northeast,Sergipe,6010504141.18
FPE,states_direct,fpe,199108,1991-08-01,1991,8,SP,Sao Paulo,Southeast,São Paulo,1446466955.74
FPE,states_direct,fpe,199108,1991-08-01,1991,8,TO,Tocantins,North,Tocantins,6277666587.89
FPE,states_direct,fpe,199109,1991-09-01,1991,9,AC,Acre,North,Acre,5992865312.56
FPE,states_direct,fpe,199109,1991-09-01,1991,9,AL,Alagoas,Northeast,Alagoas,7287611513.24
FPE,states_direct,fpe,199109,1991-09-01,1991,9,AM,Amazonas,North,Amazonas,4888188064.35
FPE,states_direct,fpe,199109,1991-09-01,1991,9,AP,Amapa,North,Amapá,5977099224.35
FPE,states_direct,fpe,199109,1991-09-01,1991,9,BA,Bahia,Northeast,Bahia,16460146462.99
FPE,states_direct,fpe,199109,1991-09-01,1991,9,CE,Ceara,Northeast,Ceará,12852690298.67
FPE,states_direct,fpe,199109,1991-09-01,1991,9,DF,Distrito Federal,Center-West,Distrito Federal,1209083788.01
FPE,states_direct,fpe,199109,1991-09-01,1991,9,ES,Espirito Santo,Southeast,Espírito Santo,2627681370.6
FPE,states_direct,fpe,199109,1991-09-01,1991,9,GO,Goias,Center-West,Goiás,4980507269.85
FPE,states_direct,fpe,199109,1991-09-01,1991,9,MA,Maranhao,Northeast,Maranhão,12644753112.88
FPE,states_direct,fpe,199109,1991-09-01,1991,9,MG,Minas Gerais,Southeast,Minas Gerais,7803337776.9
FPE,states_direct,fpe,199109,1991-09-01,1991,9,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,2333381057.15
FPE,states_direct,fpe,199109,1991-09-01,1991,9,MT,Mato Grosso,Center-West,Mato Grosso,4042950556.82
FPE,states_direct,fpe,199109,1991-09-01,1991,9,PA,Para,North,Pará,10706925691.43
FPE,states_direct,fpe,199109,1991-09-01,1991,9,PB,Paraiba,Northeast,Paraíba,8389135543.79
FPE,states_direct,fpe,199109,1991-09-01,1991,9,PE,Pernambuco,Northeast,Pernambuco,12087684662.31
FPE,states_direct,fpe,199109,1991-09-01,1991,9,PI,Piaui,Northeast,Piauí,7570174849.96
FPE,states_direct,fpe,199109,1991-09-01,1991,9,PR,Parana,South,Paraná,5050753951.81
FPE,states_direct,fpe,199109,1991-09-01,1991,9,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,2676205886.59
FPE,states_direct,fpe,199109,1991-09-01,1991,9,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,7318793332.17
FPE,states_direct,fpe,199109,1991-09-01,1991,9,RO,Rondonia,North,Rondônia,4932333111.39
FPE,states_direct,fpe,199109,1991-09-01,1991,9,RR,Roraima,North,Roraima,4345659450.7
FPE,states_direct,fpe,199109,1991-09-01,1991,9,RS,Rio Grande do Sul,South,Rio Grande do Sul,4125109394.34
FPE,states_direct,fpe,199109,1991-09-01,1991,9,SC,Santa Catarina,South,Santa Catarina,2241937745.39
FPE,states_direct,fpe,199109,1991-09-01,1991,9,SE,Sergipe,Northeast,Sergipe,7279202932.85
FPE,states_direct,fpe,199109,1991-09-01,1991,9,SP,Sao Paulo,Southeast,São Paulo,1751787580.41
