competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200706,2007-06-01,2007,6,22,PI,Piaui,Northeast,15,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,41,PR,Parana,South,715,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,33,RJ,Rio de Janeiro,Southeast,954,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,24,RN,Rio Grande do Norte,Northeast,355,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,11,RO,Rondonia,North,63,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,14,RR,Roraima,North,-7,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,43,RS,Rio Grande do Sul,South,453,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,42,SC,Santa Catarina,South,476,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,28,SE,Sergipe,Northeast,97,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,35,SP,Sao Paulo,Southeast,1942,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,17,TO,Tocantins,North,487,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,12,AC,Acre,North,-3,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,27,AL,Alagoas,Northeast,205,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,13,AM,Amazonas,North,152,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,16,AP,Amapa,North,158,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,29,BA,Bahia,Northeast,973,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
