nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,mes_codigo,mes,downloaded_at
1,Brasil,30,Número-índice,3.0982598885128,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199211,novembro 1992,2026-05-13
1,Brasil,30,Número-índice,3.88025965509,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199212,dezembro 1992,2026-05-13
1,Brasil,30,Número-índice,5.0579166458253,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199301,janeiro 1993,2026-05-13
1,Brasil,30,Número-índice,6.3213843084293,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199302,fevereiro 1993,2026-05-13
1,Brasil,30,Número-índice,8.0445948724789,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199303,março 1993,2026-05-13
1,Brasil,30,Número-índice,10.2769672819025,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199304,abril 1993,2026-05-13
1,Brasil,30,Número-índice,13.1226581300609,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199305,maio 1993,2026-05-13
1,Brasil,30,Número-índice,17.0686429798089,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199306,junho 1993,2026-05-13
1,Brasil,30,Número-índice,22.3121307612362,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199307,julho 1993,2026-05-13
1,Brasil,30,Número-índice,29.6662109364145,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199308,agosto 1993,2026-05-13
1,Brasil,30,Número-índice,40.2540807309468,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199309,setembro 1993,2026-05-13
1,Brasil,30,Número-índice,53.9082648348533,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),199310,outubro 1993,2026-05-13
