period_date,analysis_period,treated_value,synthetic_value,gap,outcome,treated_state,placebo_state
2020-03-01,post,-7785,-10115.089381610522,2330.0893816105217,formal_hiring_balance,CE,CE
2020-04-01,post,-36199,-26764.681043571487,-9434.318956428513,formal_hiring_balance,CE,CE
2020-05-01,post,-12042,-11345.174493426393,-696.8255065736066,formal_hiring_balance,CE,CE
2020-06-01,post,-3623,-2580.7115350985637,-1042.2884649014363,formal_hiring_balance,CE,CE
2020-07-01,post,4987,1798.82063002616,3188.17936997384,formal_hiring_balance,CE,CE
2020-08-01,post,10490,7153.351435634361,3336.648564365639,formal_hiring_balance,CE,CE
2020-09-01,post,11271,8770.85495213677,2500.1450478632305,formal_hiring_balance,CE,CE
2020-10-01,post,14891,9192.444923056823,5698.5550769431775,formal_hiring_balance,CE,CE
2020-11-01,post,13816,12237.951748550742,1578.0482514492578,formal_hiring_balance,CE,CE
2020-12-01,post,643,-2954.6105669525305,3597.6105669525305,formal_hiring_balance,CE,CE
2016-01-01,pre,-3498,-3134.770964814397,-363.22903518560315,formal_hiring_balance,DF,DF
2016-02-01,pre,-2475,-3278.5870543203164,803.5870543203164,formal_hiring_balance,DF,DF
2016-03-01,pre,-508,-2398.644419176076,1890.644419176076,formal_hiring_balance,DF,DF
